scope,season,prop_type,n,wins,losses,hit_rate,units_pl,roi_pct,brier,over_n,over_hit_rate,over_units_pl,over_brier,under_n,under_hit_rate,under_units_pl,under_brier
OVERALL,all,batter_hits_o0_5,187541,104199,83342,55.6,11374.89,6.07,0.2579,180363,55.6,11228.06,0.2582,7178,53.5,146.83,0.2516
OVERALL,all,batter_hits_o1_5,187541,150950,36591,80.5,100622.55,53.65,0.1594,504,23.0,-282.56,0.2758,187037,80.6,100905.11,0.159
OVERALL,all,batter_tb_o1_5,187541,111222,76319,59.3,24781.8,13.21,0.2411,68867,38.1,-18786.29,0.2768,118674,71.6,43568.09,0.2205
OVERALL,all,batter_tb_o2_5,187541,152084,35457,81.1,102787.36,54.81,0.1536,1551,27.0,-751.13,0.2788,185990,81.5,103538.48,0.1526
OVERALL,all,batter_tb_o3_5,187541,163042,24499,86.9,123706.18,65.96,0.1151,21,19.0,-13.36,0.2963,187520,86.9,123719.54,0.1151
OVERALL,all,pitcher_ks_o4_5,20838,10217,10621,49.0,-1333.75,-6.4,0.3498,730,43.8,-119.12,0.3256,20108,49.2,-1214.63,0.3507
OVERALL,all,pitcher_ks_o5_5,20838,13374,7464,64.2,4692.97,22.52,0.2928,216,21.8,-126.28,0.4041,20622,64.6,4819.24,0.2916
OVERALL,all,pitcher_ks_o6_5,20838,16014,4824,76.8,9732.73,46.71,0.2087,101,11.9,-78.09,0.428,20737,77.2,9810.82,0.2076
OVERALL,all,pitcher_ks_o7_5,20838,17924,2914,86.0,13378.92,64.2,0.133,48,12.5,-36.55,0.431,20790,86.2,13415.46,0.1323
BY SEASON,2022,batter_hits_o0_5,48492,26339,22153,54.3,1789.15,3.69,0.2624,46784,54.3,1723.69,0.2629,1708,54.4,65.46,0.2494
BY SEASON,2022,batter_hits_o1_5,48492,39326,9166,81.1,26581.33,54.82,0.1562,168,20.2,-103.09,0.2879,48324,81.3,26684.43,0.1557
BY SEASON,2022,batter_tb_o1_5,48492,29151,19341,60.1,7157.26,14.76,0.2418,16783,37.2,-4867.02,0.2784,31709,72.2,12024.28,0.2225
BY SEASON,2022,batter_tb_o2_5,48492,39664,8828,81.8,27226.58,56.15,0.1496,432,22.5,-246.83,0.2875,48060,82.3,27473.4,0.1483
BY SEASON,2022,batter_tb_o3_5,48492,42515,5977,87.7,32669.13,67.37,0.1094,17,23.5,-9.36,0.2997,48475,87.7,32678.5,0.1093
BY SEASON,2022,pitcher_ks_o4_5,5388,2771,2617,51.4,-98.16,-1.82,0.3462,170,36.5,-51.64,0.3147,5218,51.9,-46.52,0.3472
BY SEASON,2022,pitcher_ks_o5_5,5388,3635,1753,67.5,1551.22,28.79,0.2744,38,34.2,-13.18,0.3388,5350,67.7,1564.4,0.274
BY SEASON,2022,pitcher_ks_o6_5,5388,4247,1141,78.8,2719.52,50.47,0.1936,14,21.4,-8.27,0.3854,5374,79.0,2727.8,0.1931
BY SEASON,2022,pitcher_ks_o7_5,5388,4704,684,87.3,3591.94,66.67,0.1214,7,28.6,-3.18,0.393,5381,87.4,3595.12,0.121
BY SEASON,2023,batter_hits_o0_5,46800,26285,20515,56.2,3378.07,7.22,0.2555,44943,56.2,3316.52,0.2557,1857,54.1,61.54,0.2497
BY SEASON,2023,batter_hits_o1_5,46800,37377,9423,79.9,24552.69,52.46,0.1619,151,29.8,-65.1,0.2627,46649,80.0,24617.79,0.1616
BY SEASON,2023,batter_tb_o1_5,46800,27551,19249,58.9,5794.86,12.38,0.2409,17415,39.1,-4408.98,0.2736,29385,70.6,10203.84,0.2215
BY SEASON,2023,batter_tb_o2_5,46800,37564,9236,80.3,24909.68,53.23,0.1585,279,25.4,-143.46,0.2769,46521,80.6,25053.14,0.1578
BY SEASON,2023,batter_tb_o3_5,46800,40324,6476,86.2,30178.52,64.48,0.1216,1,0.0,-1.0,0.2508,46799,86.2,30179.52,0.1216
BY SEASON,2023,pitcher_ks_o4_5,5200,2510,2690,48.3,-408.41,-7.85,0.35,196,50.0,-8.92,0.3286,5004,48.2,-399.49,0.3508
BY SEASON,2023,pitcher_ks_o5_5,5200,3292,1908,63.3,1084.43,20.85,0.2963,61,21.3,-36.18,0.4357,5139,63.8,1120.61,0.2947
BY SEASON,2023,pitcher_ks_o6_5,5200,3944,1256,75.8,2329.1,44.79,0.2164,31,12.9,-23.36,0.4483,5169,76.2,2352.46,0.215
BY SEASON,2023,pitcher_ks_o7_5,5200,4447,753,85.5,3289.32,63.26,0.1372,16,18.8,-10.27,0.4657,5184,85.7,3299.6,0.1361
BY SEASON,2024,batter_hits_o0_5,46188,25673,20515,55.6,2821.76,6.11,0.2582,44203,55.8,2893.94,0.2583,1985,50.5,-72.18,0.2578
BY SEASON,2024,batter_hits_o1_5,46188,37293,8895,80.7,25004.34,54.14,0.159,67,28.4,-30.73,0.2604,46121,80.8,25035.07,0.1588
BY SEASON,2024,batter_tb_o1_5,46188,26754,19434,57.9,4885.39,10.58,0.244,19047,37.5,-5426.29,0.278,27141,72.3,10311.67,0.2201
BY SEASON,2024,batter_tb_o2_5,46188,37594,8594,81.4,25578.95,55.38,0.1531,348,30.2,-147.55,0.2696,45840,81.8,25726.5,0.1522
BY SEASON,2024,batter_tb_o3_5,46188,40215,5973,87.1,30582.43,66.21,0.1138,1,0.0,-1.0,0.2613,46187,87.1,30583.43,0.1138
BY SEASON,2024,pitcher_ks_o4_5,5132,2422,2710,47.2,-508.4,-9.91,0.3554,165,35.2,-54.28,0.3581,4967,47.6,-454.12,0.3554
BY SEASON,2024,pitcher_ks_o5_5,5132,3185,1947,62.1,948.16,18.48,0.3075,55,20.0,-34.0,0.4034,5077,62.5,982.17,0.3065
BY SEASON,2024,pitcher_ks_o6_5,5132,3888,1244,75.8,2290.19,44.63,0.2181,29,10.3,-23.27,0.4123,5103,76.1,2313.47,0.217
