game,market,side,american,decimal,book,vig_free_pct
NYM @ COL,moneyline,NYM,-139,1.72,lowvig,56.8%
NYM @ COL,moneyline,COL,+126,2.26,betus,43.2%
NYM @ COL,run_line,NYM -1.5,+113,2.13,lowvig,
NYM @ COL,run_line,COL +1.5,-125,1.8,williamhill_us,
NYM @ COL,totals,OVER 10.5,-120,1.83,williamhill_us,53.1%
NYM @ COL,totals,UNDER 10.5,+107,2.07,lowvig,46.9%
NYM @ COL,totals,OVER 11.0,+100,2.0,betmgm,48.3%
NYM @ COL,totals,UNDER 11.0,-115,1.87,fanatics,51.7%
BOS @ DET,moneyline,BOS,+171,2.71,lowvig,36.1%
BOS @ DET,moneyline,DET,-189,1.53,lowvig,63.9%
BOS @ DET,run_line,BOS +1.5,-130,1.77,fanatics,
BOS @ DET,run_line,DET -1.5,+123,2.23,mybookieag,
BOS @ DET,totals,OVER 7.0,+100,2.0,betmgm,48.8%
BOS @ DET,totals,UNDER 7.0,-110,1.91,bovada,51.2%
PHI @ MIA,moneyline,PHI,-104,1.96,mybookieag,50.0%
PHI @ MIA,moneyline,MIA,-104,1.96,betonlineag,50.0%
PHI @ MIA,run_line,PHI -1.5,+154,2.54,mybookieag,
PHI @ MIA,run_line,PHI +1.5,-233,1.43,bovada,
PHI @ MIA,run_line,MIA -1.5,+190,2.9,bovada,
PHI @ MIA,run_line,MIA +1.5,-169,1.59,betonlineag,
PHI @ MIA,totals,OVER 8.5,-108,1.93,lowvig,50.3%
PHI @ MIA,totals,UNDER 8.5,-105,1.95,fanduel,49.7%
TOR @ TB,moneyline,TOR,+109,2.09,betonlineag,47.0%
TOR @ TB,moneyline,TB,-118,1.85,betus,53.0%
TOR @ TB,run_line,TOR -1.5,+170,2.7,betrivers,
TOR @ TB,run_line,TOR +1.5,-196,1.51,betonlineag,
TOR @ TB,run_line,TB -1.5,+176,2.76,fanduel,
TOR @ TB,run_line,TB +1.5,-200,1.5,draftkings,
TOR @ TB,totals,OVER 8.0,-105,1.95,fanduel,49.7%
TOR @ TB,totals,UNDER 8.0,-108,1.93,lowvig,50.3%
BAL @ NYY,moneyline,BAL,+185,2.85,betrivers,34.3%
BAL @ NYY,moneyline,NYY,-204,1.49,fanduel,65.7%
BAL @ NYY,run_line,BAL +1.5,-105,1.95,mybookieag,
BAL @ NYY,run_line,NYY -1.5,-102,1.98,fanduel,
BAL @ NYY,totals,OVER 8.5,-104,1.96,lowvig,49.4%
BAL @ NYY,totals,UNDER 8.5,-110,1.91,fanatics,50.6%
CIN @ CHC,moneyline,CIN,+180,2.8,betonlineag,34.9%
CIN @ CHC,moneyline,CHC,-200,1.5,betonlineag,65.1%
