section,date,matchup,starting_pitchers,bet_type,pick,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice
projection,2026-05-02,AZ@CHC,A: Ryne Nelson · H: Shota Imanaga,totals,OVER 7.0,0.689,1.452,1.85,-118,draftkings,14.83,5.0,2u
projection,2026-05-02,MIL@WSH,A: Kyle Harrison · H: Foster Griffin,totals,OVER 7.5,0.664,1.506,1.93,-108,mybookieag,14.58,5.0,2u
projection,2026-05-02,CLE@ATH,A: Slade Cecconi · H: Jacob Lopez,totals,UNDER 10.5,0.641,1.561,1.88,-114,fanduel,10.88,5.0,2u
projection,2026-05-02,TEX@DET,A: Kumar Rocker · H: Keider Montero,totals,UNDER 8.0,0.596,1.678,2.0,100,betmgm,9.6,5.0,2u
projection,2026-05-02,PHI@MIA,A: Andrew Painter · H: Max Meyer,totals,UNDER 8.5,0.555,1.801,2.09,109,lowvig,7.68,5.0,2u
projection,2026-05-02,AZ@CHC,A: Ryne Nelson · H: Shota Imanaga,run_line,CHC,0.488,2.049,2.41,141,lowvig,7.31,5.0,2u
projection,2026-05-02,HOU@BOS,A: Spencer Arrighetti · H: Connelly Early,totals,OVER 9.0,0.571,1.752,1.98,-102,betmgm,6.56,5.0,2u
projection,2026-05-02,CIN@PIT,A: Rhett Lowder · H: Carmen Mlodzinski,totals,UNDER 8.0,0.557,1.796,2.0,100,lowvig,5.69,5.0,2u
projection,2026-05-02,LAD@STL,A: Roki Sasaki · H: Michael McGreevy,moneyline,STL,0.517,1.934,2.17,117,betus,5.62,5.0,2u
projection,2026-05-02,LAD@STL,A: Roki Sasaki · H: Michael McGreevy,totals,OVER 8.5,0.593,1.685,1.85,-118,lowvig,5.3,5.0,2u
backfill,2026-05-02,KC@SEA,A: Seth Lugo · H: Emerson Hancock,totals,OVER 8.0,0.529,1.889,2.0,100,betmgm,2.94,2.94,1u
backfill,2026-05-02,SF@TB,A: Landen Roupp · H: Griffin Jax,moneyline,SF,0.545,1.835,1.93,-108,mybookieag,2.69,2.79,1u
backfill,2026-05-02,PHI@MIA,A: Andrew Painter · H: Max Meyer,run_line,MIA,0.401,2.494,2.65,165,betmgm,2.36,1.9,1u
backfill,2026-05-02,NYM@LAA,A: Nolan McLean · H: Reid Detmers,totals,OVER 8.0,0.5,2.0,2.07,107,lowvig,1.69,1.64,1u
backfill,2026-05-02,SF@TB,A: Landen Roupp · H: Griffin Jax,totals,OVER 7.5,0.519,1.927,1.98,-102,lowvig,1.4,1.41,0.5u
backfill,2026-05-02,MIL@WSH,A: Kyle Harrison · H: Foster Griffin,moneyline,MIL,0.57,1.754,1.78,-128,lowvig,0.82,0.94,0.5u
backfill,2026-05-02,CIN@PIT,A: Rhett Lowder · H: Carmen Mlodzinski,run_line,PIT,0.385,2.597,2.65,165,betmgm,0.76,0.61,0.5u
backfill,2026-05-02,HOU@BOS,A: Spencer Arrighetti · H: Connelly Early,run_line,BOS,0.385,2.597,2.65,165,betmgm,0.76,0.61,0.5u
backfill,2026-05-02,TOR@MIN,A: Dylan Cease · H: Connor Prielipp,totals,OVER 7.5,0.541,1.847,1.87,-115,mybookieag,0.67,0.72,0.5u
backfill,2026-05-02,BAL@NYY,A: Kyle Bradish · H: Ryan Weathers,totals,OVER 8.5,0.528,1.895,1.91,-110,lowvig,0.41,0.43,PASS
backfill,2026-05-02,TEX@DET,A: Kumar Rocker · H: Keider Montero,run_line,DET,0.371,2.695,2.65,165,betrivers,-0.64,0.0,PASS
