section,date,away,home,away_sp_name,home_sp_name,away_sp_factor,home_sp_factor,away_bp_factor,home_bp_factor,venue,temp_f,wind_mph,wind_dir,weather_factor,away_stars_present,home_stars_present,away_missing_stars,home_missing_stars,away_lineup_factor,home_lineup_factor,away_runs_proj,home_runs_proj,total_proj,pick_8.5,pick_9.0,pick_9.5,kelly_line,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,total_runs,result_8.5,result_9.0,result_9.5
projection,2026-05-03,TOR,MIN,Trey Yesavage,Joe Ryan,0.9375692137320043,0.9201511035653649,0.9908159351197328,1.1718840970350404,Target Field,69.2,13.3,324,1.021,0/0,0/0,,,1.0,1.0,4.9,4.39,9.29,OVER,OVER,UNDER,OVER 7.0,0.615,1.625,1.91,-110,bovada,9.18,5.0,2u,,,,
projection,2026-05-03,HOU,BOS,Cody Bolton,Ranger Suarez,1.03063670411985,0.8936793168880455,1.275015253403313,0.9626812330035296,Fenway Park,52.8,16.1,309,0.939,0/0,0/0,,,1.0,1.0,4.29,5.15,9.44,OVER,OVER,UNDER,OVER 8.5,0.537,1.864,1.83,-120,fanduel,-0.99,0.0,PASS,,,,
projection,2026-05-03,CIN,PIT,Chase Burns,Braxton Ashcraft,0.9348629032258065,0.9352210701484894,1.0679797125950974,0.9502425883694412,PNC Park,58.0,12.3,258,0.965,0/0,0/0,,,1.0,1.0,4.16,4.74,8.9,OVER,UNDER,UNDER,OVER 7.5,0.576,1.736,1.97,-103,lowvig,6.84,5.0,2u,,,,
projection,2026-05-03,BAL,NYY,Trey Gibson,Max Fried,1.0,0.8658926204153777,1.0419993968636914,0.9538762654668166,Yankee Stadium,56.2,15.4,291,0.956,0/0,0/0,,,1.0,1.0,4.09,5.04,9.12,OVER,OVER,UNDER,OVER 9.0,0.416,2.402,2.06,106,lowvig,-6.91,0.0,PASS,,,,
projection,2026-05-03,MIL,WSH,Logan Henderson,PJ Poulin,1.0,1.0723842440201887,1.0135335689045937,1.1138525770004644,Nationals Park,59.0,13.5,291,0.97,0/0,0/0,,,1.0,1.0,5.28,4.37,9.65,OVER,OVER,OVER,OVER 8.5,0.557,1.794,1.93,-108,lowvig,3.92,4.07,2u,,,,
projection,2026-05-03,SF,TB,Tyler Mahle,Steven Matz,1.1059686305873986,1.0721271813855102,0.8840188993885492,1.1028004807692309,Tropicana Field,,,,1.0,0/0,0/0,,,1.0,1.0,3.99,4.14,8.13,UNDER,UNDER,UNDER,OVER 8.0,0.409,2.443,1.96,-104,betrivers,-10.08,0.0,PASS,,,,
projection,2026-05-03,PHI,MIA,Jesús Luzardo,Chris Paddack,0.8843413659739044,1.0331425420457676,1.0848199708454809,0.9502123142250529,loanDepot park,,,,1.0,0/0,0/0,,,1.0,1.0,3.95,4.02,7.97,UNDER,UNDER,UNDER,UNDER 8.5,0.605,1.652,1.83,-120,bovada,5.89,5.0,2u,,,,
projection,2026-05-03,LAD,STL,Justin Wrobleski,Dustin May,0.9037721774193547,1.0032102550430995,0.9680107526881719,1.12332327660306,Busch Stadium,66.7,14.9,206,1.0085,0/0,0/0,,,1.0,1.0,4.74,4.36,9.1,OVER,OVER,UNDER,UNDER 9.5,0.586,1.708,2.04,104,lowvig,9.53,5.0,2u,,,,
projection,2026-05-03,AZ,CHC,Merrill Kelly,Matthew Boyd,1.1781775856335217,0.8777314990512333,1.1102857142857143,0.9586665492337503,Wrigley Field,55.5,18.5,212,0.9525,0/0,0/0,,,1.0,1.0,3.98,5.53,9.52,OVER,OVER,OVER,UNDER 11.5,0.705,1.418,2.05,105,lowvig,21.72,5.0,2u,,,,
projection,2026-05-03,ATL,COL,Spencer Strider,Kyle Freeland,1.03,1.030675289105295,0.8888888888888888,1.0854932157044834,Coors Field,73.1,14.4,332,1.0405,0/0,0/0,,,1.0,1.0,6.54,5.31,11.85,OVER,OVER,OVER,OVER 9.5,0.677,1.477,1.85,-118,draftkings,13.63,5.0,2u,,,,
projection,2026-05-03,CLE,ATH,Parker Messick,Aaron Civale,0.8180042761655663,0.9616726206344972,1.0367868852459017,1.1146699507389162,Sutter Health Park,61.6,9.7,220,0.983,0/0,0/0,,,1.0,1.0,4.49,3.83,8.31,UNDER,UNDER,UNDER,UNDER 9.0,0.574,1.743,1.99,-101,mybookieag,7.13,5.0,2u,,,,
projection,2026-05-03,NYM,LAA,Clay Holmes,Jack Kochanowicz,0.9825896474118528,1.0255211891208096,1.0033350239504086,1.1738161853188929,Angel Stadium,64.3,6.5,236,0.9964999999999999,0/0,0/0,,,1.0,1.0,4.49,4.31,8.81,OVER,UNDER,UNDER,UNDER 9.0,0.526,1.902,1.91,-110,lowvig,0.22,0.23,PASS,,,,
projection,2026-05-03,KC,SEA,Kris Bubic,Luis Castillo,0.9553509831641177,1.0397936398993364,1.1148571428571428,0.9006243114212267,T-Mobile Park,,,,1.0,0/0,0/0,,,1.0,1.0,4.28,4.41,8.69,OVER,UNDER,UNDER,OVER 8.0,0.463,2.162,1.98,-102,lowvig,-4.24,0.0,PASS,,,,
